,amp,X,Y
149,1809,6.020069122314453e-06,-7.152557373046875e-06
150,1816,6.258487701416016e-06,-8.404254913330078e-06
151,1824,6.794929504394531e-06,-8.165836334228516e-06
152,1831,6.318092346191406e-06,-7.271766662597656e-06
153,1839,7.3909759521484375e-06,-7.867813110351562e-06
154,1847,7.331371307373047e-06,-6.973743438720703e-06
155,1854,7.033348083496094e-06,-7.68899917602539e-06
156,1862,7.569789886474609e-06,-6.377696990966797e-06
157,1869,7.62939453125e-06,-7.748603820800781e-06
158,1877,7.271766662597656e-06,-8.52346420288086e-06
159,1884,8.046627044677734e-06,-8.404254913330078e-06
160,1892,7.510185241699219e-06,-7.450580596923828e-06
161,1899,7.510185241699219e-06,-7.62939453125e-06
162,1907,8.344650268554688e-06,-6.854534149169922e-06
163,1914,8.64267349243164e-06,-7.62939453125e-06
164,1922,8.702278137207031e-06,-7.62939453125e-06
165,1929,8.940696716308594e-06,-8.344650268554688e-06
166,1937,7.987022399902344e-06,-7.927417755126953e-06
167,1944,8.165836334228516e-06,-7.3909759521484375e-06
168,1952,8.761882781982422e-06,-6.258487701416016e-06
169,1959,8.165836334228516e-06,-6.973743438720703e-06
170,1967,8.344650268554688e-06,-5.125999450683594e-06
171,1974,9.417533874511719e-06,-6.854534149169922e-06
172,1982,9.357929229736328e-06,-5.0067901611328125e-06
173,1989,9.000301361083984e-06,-6.616115570068359e-06
174,1997,9.059906005859375e-06,-6.67572021484375e-06
175,2004,9.238719940185547e-06,-6.556510925292969e-06
176,2012,8.702278137207031e-06,-5.4836273193359375e-06
177,2019,9.5367431640625e-06,-5.125999450683594e-06
178,2027,9.298324584960938e-06,-4.76837158203125e-06
179,2034,9.059906005859375e-06,-4.410743713378906e-06
180,2042,9.59634780883789e-06,-4.5299530029296875e-06
181,2049,1.0251998901367188e-05,-3.3974647521972656e-06
182,2057,8.821487426757812e-06,-5.841255187988281e-06
183,2064,8.046627044677734e-06,-6.556510925292969e-06
184,2072,7.3909759521484375e-06,-6.556510925292969e-06
185,2079,8.881092071533203e-06,-6.67572021484375e-06
186,2087,6.9141387939453125e-06,-6.973743438720703e-06
187,2094,7.569789886474609e-06,-6.616115570068359e-06
188,2102,7.987022399902344e-06,-7.271766662597656e-06
189,2109,7.62939453125e-06,-7.033348083496094e-06
190,2117,7.271766662597656e-06,-8.404254913330078e-06
191,2124,6.556510925292969e-06,-8.404254913330078e-06
192,2132,7.510185241699219e-06,-7.212162017822266e-06
193,2139,7.152557373046875e-06,-8.165836334228516e-06
194,2147,5.841255187988281e-06,-7.62939453125e-06
195,2154,7.152557373046875e-06,-8.225440979003906e-06
196,2162,8.225440979003906e-06,-8.285045623779297e-06
197,2169,7.927417755126953e-06,-8.940696716308594e-06
198,2177,8.106231689453125e-06,-8.285045623779297e-06
199,2184,6.9141387939453125e-06,-8.285045623779297e-06
200,2192,8.165836334228516e-06,-9.5367431640625e-06
